,Imagem,Nome,Descrição,Efeito,Localização,Ingredientes,Preço de Compra,Preço de Venda,Estatísticas,Conquista,Como obter
0,,Anel de brilho pequeno,Emite uma luz pequena e constante.,Emite luz num raio de 5 ladrilhos.,As Minas  (andares 1-39)  Baús de Tesouro de Pesca  Conjunto Pesca Noturna,,,50 ouros,,,
1,,Anel brilhante,Emite uma luz constante.,Emite luz num raio de 10 ladrilhos.,As Minas  (andares 41-79)  Baús de Tesouro de Pesca,,,100 ouros,,,
2,,Pequeno anel com ímã,Aumenta levemente o seu raio para coletar itens.,Aumenta o raio de  Magnetismo  do jogador em 1 ladrilho.,As Minas  (andares 1-39)  Baús de Tesouro de Pesca  Conjunto de Aventureiro,,,50 ouros,,,
3,,Anel-ímã,Aumenta o seu raio para coletar itens.,Aumenta o raio de  Magnetismo  do jogador em 2 ladrilhos.,As Minas  (andares 41-79)  Baús de Tesouro de Pesca,,,100 ouros,,,
4,,Anel de Pedra Luminosa,"Emite uma luz constante, e também aumenta seu alcance de coleta de itens.",Combinação dos efeitos do  Anel brilhante  e do  Anel-ímã  : Emite luz num raio de 10 ladrilhos e aumenta o raio de  Magnetismo  do jogador em 2 ladrilhos.,Artesanato  com Nível 4 em  Mineração  Feira do Vale do Orvalho,Essência solar  (5)  Barra de ferro  (5),1 000  na  Feira do Vale do Orvalho,100 ouros,,,
5,,Anel duro,Corta a duração de efeitos negativos pela metade.,A duração de  debuffs  é reduzida em 50%.,Artesanato  com Nível 1 em  Combate,Barra de cobre  (2)  Carne de inseto  (25)  Gosma  (25),,750 ouros,,,
6,,Anel de guerreiro,"Ocasionalmente enche quem o usa de ""energia de guerreiro"" após matar um monstro.",Energia de guerreiro  (  Ataque  (+10)  ),Artesanato  com Nível 4 em  Combate,Barra de ferro  (10)  Carvão  (25)  Lágrima congelada  (10),,750 ouros,,,
7,,Anel de Espinhos,"Quando inimigos te machucarem, eles também receberão danos.",Monstros  recebem dano igual ao dano absoluto causado ao jogador.,Artesanato  com Nível 7 em  Combate,Fragmento de Osso  (50)  Pedra  (50)  Barra de ouro  (1),,100 ouros,,,
8,,Anel de Ioba,Protege ocasionalmente quem o usa de dano.,Bênção de Ioba  (Invencibilidade),Artesanato  com Nível 7 em  Combate,Barra de ferro  (5)  Barra de ouro  (5)  Diamante  (1),,750 ouros,,,
9,,Anel de irídio,"Brilha, atrai itens, e aumenta dano de ataque em 10%.","Combina o efeito do  Anel brilhante  , do  Anel-ímã  , e do  Anel de rubi  .",Artesanato  com Nível 9 em  Combate  Baús de Tesouro de Pesca,Barra de irídio  (5)  Essência solar  (50)  Essência nula  (50),,1 000 ouros,,,
10,,Anel de música,Toca uma música aleatória que você já tenha ouvido.,Desconhecido.,Impossível de obter,,,100 ouros,,,
11,,Anel de ametista,Aumenta ricochete em 10%.,Repulsão  (+10%),Guilda dos Aventureiros  Baús de Tesouro de Pesca,,1 000 ouros,100 ouros,,,
12,,Anel de topázio,Aumenta precisão de arma em 10%.,Não faz nada.,Guilda dos Aventureiros  Baús de Tesouro de Pesca,,1 000 ouros,100 ouros,,,
13,,Anel de água-marinha,Aumenta chance de dano crítico em 10%.,Chance Crítica  (+10%),Guilda dos Aventureiros  (depois de desbloquear o 40º andar das  Minas  )  Baús de Tesouro de Pesca,,2 500 ouros,200 ouros,,,
14,,Anel de jade,Aumenta ataque crítico em 10%.,Ataque Crítico  (+10%),Guilda dos Aventureiros  (depois de desbloquear o 40º andar das  Minas  )  Baús de Tesouro de Pesca,,2 500 ouros,200 ouros,,,
15,,Anel de esmeralda,Aumenta velocidade de arma em 10%.,Velocidade  (+10%),Guilda dos Aventureiros  (depois de desbloquear o 80º andar das  Minas  )  Baús de Tesouro de Pesca,,5 000 ouros,300 ouros,,,
16,,Anel de rubi,Aumenta ataque em 10%.,Ataque  (+10%),"Guilda dos Aventureiros  (depois de desbloquear o 80º andar das  Minas  ),  Baús de Tesouro de Pesca  .  Derrotando uma  Caveira Assombrada  na  mina da pedreira  e nos andares Aleatórios de masmorra nas  Minas",,5 000 ouros,300 ouros,,,
17,,Encantador de gosma,Protege contra danos das gosmas.,Imunidade ao dano das  Gosmas  e ao debuff  Coberto de gosma,Guilda dos Aventureiros  (como recompensa por matar 1000  Gosmas  e posteriomente disponível para compra),,25 000 ouros,350 ouros,,,
18,,Anel selvagem,Ganhe um pouco de velocidade toda vez que matar um monstro.,Fluxo de adrenalina  (  Velocidade  (+2)  ),Guilda dos Aventureiros  (como recompensa por matar 150  Espíritos do Vazio  e posteriomente disponível para compra),,25 000 ouros,750 ouros,,,
19,,Anel do ladrão,Monstros possuem uma chance maior de deixarem itens.,Monstros  dropam itens mais facilmente.,Guilda dos Aventureiros  (como recompensa por matar 500  Espíritos da poeira  e posteriomente disponível para compra),,20 000 ouros,750 ouros,,,
20,,Anel vampiro,Ganhe um pouco de saúde toda vez que matar um monstro.,Restaura 2 de  saúde  após matar um  monstro  .,Guilda dos Aventureiros  (como recompensa por matar 200  Morcegos  e posteriomente disponível para compra),,15 000 ouros,750 ouros,,,
21,,Anel de Caraguejo,O topo do anel é feito de carapaça de caranguejo encantada.,Defesa  (+5),Guilda dos Aventureiros  (como recompensa por matar 60  Caranguejos-pedra  e posteriomente disponível para compra),,15 000 ouros,1 000 ouros,,,
22,,Anel Napalm,"Quando derrotar um inimigo, ele explode.","Monstros  derrotados explodem, destruindo objetos e danificando inimigos. Não causa dano ao jogador.",Guilda dos Aventureiros  (como recompensa por matar 250  Sepentes  e posteriomente disponível para compra),,30 000 ouros,1 000 ouros,,,
23,,Anel de Casamento,Uma antiga tradição da Cidade de Zuzu... Use para pedir a mão de uma pessoa em casamento.,Permite que dois jogadores se  casem  no modo  Multijogador  .,Compre a  receita  no  Carrinho de Viagem  por  500 ouros,Barra de irídio  (5)  Fragmento prismático  (1),,1 000 ouros,,,
24,,Anel de Imunidade,A parte de cima do anel é feita de lã roxa encantada.,Imunidade  (+4),As Minas  (andares 100+)  Caverna da Caveira,,,250 ouros,,,
25,,Anel da Sorte,É dito que o emblema lunar traz sorte para quem o usa.,Sorte  (+1),Caverna da Caveira  Peneirando,,,100 ouros,,,
